Year,Geography,60RELBHCP_ALL,60ABSBHCP_ALL,60RELAHCP_ALL,60ABSAHCP_ALL,60RELBHCN_ALL,60ABSBHCN_ALL,60RELAHCN_ALL,60ABSAHCN_ALL
1994/95,GB,19,31,24,36,10.4,17.2,13.5,19.9
1995/96,GB,18,31,24,36,9.9,17,13.5,19.9
1996/97,GB,19,29,25,34,10.8,16,14,18.8
1997/98,GB,20,28,24,32,10.9,15.5,13.6,17.9
1998/99,UK,19,27,24,31,11.2,15.4,14,17.9
1999/00,UK,19,25,24,29,11.1,14.5,13.8,17
2000/01,UK,19,22,23,27,10.7,13,13.4,15.5
2001/02,UK,18,20,23,24,10.7,11.5,13.2,13.9
2002/03,UK,18,18,22,22,10.4,10.8,13,13
2003/04,UK,17,18,21,21,10.2,10.6,12.5,12.3
2004/05,UK,17,17,21,20,10,10,12.1,11.6
2005/06,UK,17,17,21,20,10.3,10.1,12.7,11.9
2006/07,UK,18,17,22,20,10.7,10.2,13.3,12.2
2007/08,UK,18,17,23,21,11,10.5,13.6,12.6
2008/09,UK,18,17,22,21,10.8,10.2,13.5,12.5
2009/10,UK,17,15,22,21,10.4,9.4,13.6,12.6
2010/11,UK,16,16,21,21,9.8,9.8,13,13
2011/12,UK,16,17,21,22,9.8,10.8,13.1,14
2012/13,UK,15,17,21,23,9.7,10.6,13.2,14.6
2013/14,UK,15,17,21,23,9.6,10.4,13.2,14.5
