Year,Geography,60RELBHCP_CHILD,60ABSBHCP_CHILD,60RELAHCP_CHILD,60ABSAHCP_CHILD,60RELBHCN_CHILD,60ABSBHCN_CHILD,60RELAHCN_CHILD,60ABSAHCN_CHILD
1994/95,GB,25,39,33,46,3.2,4.9,4.1,5.8
1995/96,GB,24,39,33,46,3.0,4.9,4.2,5.8
1996/97,GB,27,37,34,44,3.4,4.7,4.3,5.6
1997/98,GB,27,36,33,42,3.4,4.6,4.2,5.4
1998/99,UK,26,35,34,42,3.4,4.6,4.4,5.5
1999/00,UK,26,33,33,39,3.4,4.3,4.3,5.2
2000/01,UK,23,29,31,35,3.1,3.7,4.1,4.6
2001/02,UK,23,25,31,32,3.0,3.3,4.0,4.2
2002/03,UK,22,23,30,30,2.9,3.0,3.8,3.8
2003/04,UK,22,22,28,28,2.8,2.9,3.7,3.6
2004/05,UK,21,21,28,27,2.7,2.8,3.7,3.5
2005/06,UK,22,21,30,28,2.8,2.7,3.8,3.6
2006/07,UK,22,21,31,28,2.9,2.7,4.0,3.6
2007/08,UK,23,22,32,29,2.9,2.8,4.1,3.8
2008/09,UK,22,20,30,28,2.8,2.7,3.9,3.6
2009/10,UK,20,18,30,27,2.6,2.4,3.9,3.6
2010/11,UK,18,18,27,27,2.3,2.3,3.6,3.6
2011/12,UK,18,20,27,29,2.3,2.6,3.6,3.9
2012/13,UK,17,19,27,31,2.3,2.6,3.7,4.1
2013/14,UK,17,19,28,31,2.3,2.6,3.7,4.1
