Year,Geography,60RELBHCP_WA,60ABSBHCP_WA,60RELAHCP_WA,60ABSAHCP_WA,60RELBHCN_WA,60ABSBHCN_WA,60RELAHCN_WA,60ABSAHCN_WA,
1994/95,GB,15,24,20,29,4.8,7.7,6.6,9.5,
1995/96,GB,14,23,20,29,4.6,7.6,6.5,9.5,
1996/97,GB,15,22,21,27,5.0,7.3,6.8,9.0,
1997/98,GB,15,21,20,26,5.0,6.9,6.5,8.4,
1998/99,UK,15,20,19,25,5.0,6.8,6.6,8.4,
1999/00,UK,15,19,20,24,5.1,6.6,6.7,8.1,
2000/01,UK,15,17,19,22,5.1,6.0,6.6,7.6,
2001/02,UK,15,16,19,20,5.1,5.4,6.5,6.8,
2002/03,UK,14,15,19,19,5.0,5.2,6.7,6.7,
2003/04,UK,14,15,19,19,5.1,5.2,6.7,6.6,
2004/05,UK,14,14,19,18,5.0,5.0,6.6,6.4,
2005/06,UK,15,15,20,19,5.3,5.2,7.2,6.8,
2006/07,UK,15,14,20,19,5.3,5.1,7.3,6.8,
2007/08,UK,15,15,21,20,5.6,5.3,7.5,7.1,
2008/09,UK,16,15,21,20,5.7,5.5,7.7,7.3,
2009/10,UK,16,14,22,20,5.7,5.2,7.9,7.4,
2010/11,UK,15,15,21,21,5.5,5.5,7.7,7.7,
2011/12,UK,15,16,21,22,5.6,6.1,7.9,8.3,
2012/13,UK,15,16,21,23,5.5,5.9,8.0,8.7,
2013/14,UK,14,15,21,23,5.4,5.8,7.9,8.5,
