Year,Geography,60RELBHCP_PN,60ABSBHCP_PN,60RELAHCP_PN,60ABSAHCP_PN,60RELBHCN_PN,60ABSBHCN_PN,60RELAHCN_PN,60ABSAHCN_PN
1994/95,GB,24,46,28,47,2.4,4.5,2.8,4.7
1995/96,GB,24,45,28,46,2.4,4.5,2.8,4.6
1996/97,GB,25,41,29,42,2.4,4.1,2.9,4.2
1997/98,GB,25,39,29,41,2.5,3.9,2.9,4.0
1998/99,UK,27,39,29,39,2.8,4.0,2.9,4.0
1999/00,UK,25,35,28,36,2.6,3.6,2.8,3.7
2000/01,UK,25,31,26,32,2.6,3.2,2.7,3.3
2001/02,UK,25,27,26,28,2.6,2.8,2.7,2.9
2002/03,UK,24,25,24,24,2.5,2.6,2.5,2.5
2003/04,UK,23,23,20,20,2.4,2.5,2.1,2.1
2004/05,UK,21,21,17,16,2.2,2.2,1.8,1.7
2005/06,UK,20,20,16,15,2.2,2.1,1.8,1.6
2006/07,UK,23,22,19,16,2.5,2.3,2.0,1.8
2007/08,UK,22,21,18,15,2.5,2.3,2.0,1.7
2008/09,UK,20,18,16,14,2.2,2.1,1.8,1.6
2009/10,UK,18,16,15,13,2.0,1.8,1.8,1.5
2010/11,UK,17,17,14,14,2.0,2.0,1.6,1.6
2011/12,UK,16,17,13,15,1.9,2.0,1.6,1.8
2012/13,UK,16,17,13,15,1.9,2.0,1.6,1.8
2013/14,UK,16,18,14,16,1.9,2.1,1.6,1.9
